element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Al,2,"=""219.5456""","=""219.5457""","=""300""","=""3.83e+07""",C,"=""95550.51""","=""141084.89""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3F*""","=""2""",5,5,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""219.5502""","=""219.5502""","=""300""","=""2.07e+08""",C+,"=""95551.44""","=""141084.89""","=""3s.3d""","=""3D""","=""1""","=""3p.3d""","=""3F*""","=""2""",3,5,,"=""T6298c4,LS""","=""L4575""",
Al,1,"=""219.9150""","=""219.91827""","=""1g""","=""1.75e+06""",C,"=""0.000""","=""45457.244""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.8s""","=""2S""","=""1/2""",2,2,,"=""T6527c4,LS""","=""L3514""",
Al,1,"=""220.4590""","=""220.46181""","=""2g""","=""3.49e+06""",C,"=""112.061""","=""45457.244""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.8s""","=""2S""","=""1/2""",4,2,,"=""T6527c4,LS""","=""L3514""",
Al,1,"=""220.4660""","=""220.46676""","=""2g""","=""4.37e+07""",C+,"=""0.000""","=""45344.165""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.6d""","=""2D""","=""3/2""",2,4,,"=""u36,LS""","=""L3514""",
Al,3,"=""220.966""","=""220.9508""","=""1d""","=""1.46e+07""",A,"=""143633.38""","=""188878.22""","=""2p6.4p""","=""2P*""","=""1/2""","=""2p6.5d""","=""2D""","=""3/2""",2,4,,"=""c32""","=""L3473""",
Al,1,"=""221.0046""","=""221.00603""","=""2g""","=""5.20e+07""",C+,"=""112.061""","=""45345.594""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.6d""","=""2D""","=""5/2""",4,6,,"=""u36,LS""","=""L3514""",
Al,1,"=""""","=""221.01301""","=""""","=""8.67e+06""",C+,"=""112.061""","=""45344.165""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.6d""","=""2D""","=""3/2""",4,4,,"=""u36,LS""","=""""",
Al,3,"=""221.356""","=""221.3428""","=""2d*""","=""2.82e+06""",A,"=""143713.50""","=""188878.22""","=""2p6.4p""","=""2P*""","=""3/2""","=""2p6.5d""","=""2D""","=""3/2""",4,4,,"=""c32""","=""L3473""",
Al,3,"=""221.356""","=""221.3460""","=""2d*""","=""1.69e+07""",A,"=""143713.50""","=""188877.57""","=""2p6.4p""","=""2P*""","=""3/2""","=""2p6.5d""","=""2D""","=""5/2""",4,6,,"=""c32""","=""L3473""",
Al,2,"=""224.3045""","=""224.3047""","=""300""","=""3.03e+07""",C+,"=""95350.60""","=""139918.98""","=""3s.4s""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",1,3,,"=""T6533""","=""L4575""",
Al,1,"=""225.7999""","=""225.80070""","=""2g""","=""3.77e+06""",C,"=""0.000""","=""44273.133""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.7s""","=""2S""","=""1/2""",2,2,,"=""T6527c4,LS""","=""L3514""",
Al,1,"=""226.3462""","=""226.34644""","=""4g""","=""6.83e+07""",B,"=""0.000""","=""44166.398""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.5d""","=""2D""","=""3/2""",2,4,,"=""T5653""","=""L3514""",
Al,1,"=""226.3731""","=""226.37374""","=""2g""","=""7.5e+06""",C,"=""112.061""","=""44273.133""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.7s""","=""2S""","=""1/2""",4,2,,"=""T6527c4,LS""","=""L3514""",
Al,1,"=""226.9096""","=""226.90963""","=""4g""","=""7.58e+07""",B,"=""112.061""","=""44168.847""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.5d""","=""2D""","=""5/2""",4,6,,"=""u36,T5653,LS""","=""L3514""",
Al,1,"=""226.9220""","=""226.92225""","=""2g""","=""1.26e+07""",C+,"=""112.061""","=""44166.398""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.5d""","=""2D""","=""3/2""",4,4,,"=""T5653LS""","=""L3514""",
Al,3,"=""229.947""","=""229.9362""","=""3d*""","=""4.44e+06""",A,"=""165786.32""","=""209263.25""","=""2p6.4d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""5/2""",6,6,,"=""c32""","=""L3473""",
Al,3,"=""229.947""","=""229.9362""","=""3d*""","=""6.66e+07""",A,"=""165786.32""","=""209263.25""","=""2p6.4d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""7/2""",6,8,,"=""c32""","=""L3473""",
Al,3,"=""229.947""","=""229.9425""","=""3d*""","=""6.22e+07""",A,"=""165787.51""","=""209263.25""","=""2p6.4d""","=""2D""","=""3/2""","=""2p6.7f""","=""2F*""","=""5/2""",4,6,,"=""c32""","=""L3473""",
Al,2,"=""232.4199""","=""232.4198""","=""350""","=""3.46e+07""",C+,"=""95549.42""","=""138561.8""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""4""",7,9,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""232.5436""","=""232.5437""","=""10""","=""3.85e+06""",C,"=""95549.42""","=""138538.9""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""3""",7,7,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""232.5494""","=""232.5496""","=""300""","=""3.07e+07""",C+,"=""95550.51""","=""138538.9""","=""3s.3d""","=""3D""","=""2""","=""3s.6f""","=""3F*""","=""3""",5,7,,"=""T6298c4,LS""","=""L4575""",
