element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,1,"=""326.4401""","=""""","=""326.44011+""","=""480""","=""5.4e+07""",B,"=""16784.522""","=""47409.183""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""""","=""17.1*""","=""4""",11,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""326.5142""","=""""","=""326.51424+""","=""130""","=""2.60e+07""",B,"=""20950.853""","=""51568.561""","=""4d5.(4D).5s""","=""a 3D""","=""2""","=""""","=""42.1*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""326.6157""","=""""","=""326.61577+""","=""62""","=""1.95e+07""",B,"=""24096.294""","=""54704.485""","=""4d4.5s2""","=""a 3H""","=""4""","=""""","=""92*""","=""5""",9,11,,"=""T5293""","=""L10250""",
Mo,1,"=""327.0899""","=""""","=""327.08990+""","=""800""","=""3.6e+07""",B,"=""11858.498""","=""42422.323""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4D).5p""","=""w 5D*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""327.6072""","=""""","=""327.60724+""","=""56""","=""1.18e+07""",B,"=""21343.204""","=""51858.766""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""""","=""47*""","=""4""",11,9,,"=""T5293""","=""L10250""",
Mo,1,"=""328.5026""","=""""","=""328.50259+""","=""240""","=""1.41e+07""",B,"=""10965.947""","=""41398.340""","=""4d4.5s2""","=""a 5D""","=""0""","=""""","=""3*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""328.5313""","=""""","=""328.53135+""","=""10""","=""3.6e+06""",B,"=""22875.942""","=""53305.671""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""73*""","=""3""",5,7,,"=""T5293""","=""L10250""",
Mo,1,"=""328.5355""","=""""","=""328.53554+""","=""441""","=""4.5e+07""",B,"=""16747.720""","=""47177.061""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""""","=""13*""","=""3""",9,7,,"=""T5293""","=""L10250""",
Mo,1,"=""328.7382""","=""""","=""328.73826+""","=""99""","=""1.38e+07""",B,"=""16641.081""","=""47051.658""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""""","=""11*""","=""2""",5,5,,"=""T5293""","=""L10250""",
Mo,1,"=""328.7425""","=""""","=""328.74255+""","=""25""","=""4.2e+06""",B,"=""21343.204""","=""51753.384""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""4d4.5s.(4H).5p""","=""w 3H*""","=""5""",11,11,,"=""T5293""","=""L10250""",
Mo,1,"=""328.9011""","=""""","=""328.90107+""","=""1100*""","=""5.1e+07""",B,"=""12346.280""","=""42741.804""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""w 5D*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""329.0819""","=""""","=""329.08197+""","=""950""","=""5.4e+07""",B,"=""11858.498""","=""42237.314""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4D).5p""","=""w 5D*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
