element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rb,2,"=""314.8903""","=""0.001""","=""314.88954""","=""5000c""","=""1.4e+07""",,"=""133341.607""","=""165089.580""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",5,3,,"=""T3743""","=""L2590""",
Rb,1,"=""315.7530""","=""0.0005""","=""315.75298""","=""25""","=""3.38e+04""",B,"=""0.000""","=""31661.16""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.10p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""315.8259""","=""0.0005""","=""315.82591""","=""5""","=""2.01e+04""",B,"=""0.000""","=""31653.85""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.10p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,2,"=""316.1003""","=""0.0005""","=""316.10004""","=""1200""","=""1.4e+07""",,"=""133341.607""","=""164968.007""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",5,5,,"=""T3743""","=""L2590""",
Rb,1,"=""322.7979""","=""0.0005""","=""322.79795""","=""50""","=""6.40e+04""",C+,"=""0.000""","=""30970.19""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.9p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""322.9156""","=""0.0005""","=""322.91557""","=""6""","=""3.84e+04""",C+,"=""0.000""","=""30958.91""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.9p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,2,"=""332.1486""","=""0.0005""","=""332.14960""","=""1500""","=""1.8e+07""",,"=""134869.751""","=""164968.007""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,"=""T3743""","=""L2590""",
Rb,1,"=""334.8696""","=""0.0006""","=""334.86958""","=""60""","=""1.37e+05""",B,"=""0.000""","=""29853.79""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.8p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""335.0812""","=""0.0006""","=""335.08116""","=""75""","=""8.91e+04""",C+,"=""0.000""","=""29834.94""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.8p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,2,"=""344.0743""","=""0.0005""","=""344.0786""","=""""","=""7.e+06""",,"=""134869.751""","=""163924.55""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",3,3,,"=""T3743""","=""L2590""",
Rb,1,"=""358.7050""","=""0.0005""","=""358.70496""","=""100""","=""3.96e+05""",B+,"=""0.000""","=""27870.11""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.7p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""359.1572""","=""0.0005""","=""359.15717""","=""40""","=""2.89e+05""",B,"=""0.000""","=""27835.02""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.7p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
