element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,1,"=""""","=""983.461""","=""""","=""4.50e+06""",B,"=""94830.890""","=""104996.27""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",6,4,,"=""T7370""","=""""",
N,1,"=""986.333""","=""986.3334""","=""200""","=""1.03e+07""",B,"=""94881.820""","=""105017.600""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",8,8,,"=""T7370""","=""L3513""",
N,1,"=""""","=""987.215""","=""""","=""2.97e+06""",B,"=""94881.820""","=""105008.55""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",8,6,,"=""T7370""","=""""",
N,1,"=""""","=""988.338""","=""""","=""1.83e+06""",B,"=""94770.880""","=""104886.10""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",2,2,,"=""T7370""","=""""",
N,1,"=""""","=""990.552""","=""""","=""1.83e+05""",C,"=""94793.490""","=""104886.10""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",4,2,,"=""T7370""","=""""",
N,1,"=""""","=""990.922""","=""""","=""4.07e+05""",B,"=""94770.880""","=""104859.73""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",2,4,,"=""T7370""","=""""",
N,1,"=""""","=""991.240""","=""""","=""1.3e+04""",D,"=""93581.550""","=""103667.16""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",2,4,,"=""T7370""","=""""",
N,1,"=""""","=""993.147""","=""""","=""2.02e+06""",B,"=""94793.490""","=""104859.73""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,4,,"=""T7370""","=""""",
N,1,"=""""","=""994.7066""","=""""","=""6.1e+05""",C,"=""94830.890""","=""104881.350""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",6,8,,"=""T7370""","=""""",
N,1,"=""""","=""995.648""","=""""","=""9.1e+03""",D,"=""93581.550""","=""103622.51""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",2,2,,"=""T7370""","=""""",
N,1,"=""""","=""996.5747""","=""""","=""3.48e+05""",B,"=""94793.490""","=""104825.110""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",4,6,,"=""T7370""","=""""",
