element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,3,"=""""","=""232.468""","=""""","=""1.65e+06""",B,"=""336296.6""","=""379300.1""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,2,"=""""","=""232.5137""","=""""","=""8.57e+04""",D,"=""166678.64""","=""209673.65""","=""2s2.2p.3p""","=""3D""","=""3""","=""2s2.2p.4d""","=""3F*""","=""2""",7,5,,"=""T5520LS""","=""""",
N,3,"=""""","=""232.556""","=""""","=""8.30e+05""",B,"=""376750.4""","=""419737.6""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2p2.(3P).3p""","=""4D*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,2,"=""""","=""232.6340""","=""""","=""1.83e+07""",B,"=""178273.38""","=""221246.17""","=""2s2.2p.3p""","=""1S""","=""0""","=""2s2.2p.5d""","=""1P*""","=""1""",1,3,,"=""T5520""","=""""",
N,3,"=""""","=""232.758""","=""""","=""1.66e+06""",B,"=""376750.4""","=""419700.3""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2p2.(3P).3p""","=""4D*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""232.790""","=""""","=""1.90e+06""",B,"=""376856.8""","=""419800.7""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2p2.(3P).3p""","=""4D*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""232.801""","=""""","=""1.32e+06""",B,"=""376795.7""","=""419737.6""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2p2.(3P).3p""","=""4D*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""232.885""","=""""","=""2.84e+06""",B,"=""376945.2""","=""419871.7""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2p2.(3P).3p""","=""4D*""","=""7/2""",8,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""233.004""","=""""","=""1.65e+06""",B,"=""376795.7""","=""419700.3""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2p2.(3P).3p""","=""4D*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""233.133""","=""""","=""1.15e+06""",B,"=""376856.8""","=""419737.6""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2p2.(3P).3p""","=""4D*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""233.271""","=""""","=""6.25e+05""",B,"=""376945.2""","=""419800.7""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2p2.(3P).3p""","=""4D*""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""233.354""","=""""","=""4.30e+07""",B,"=""311690.3""","=""354530.5""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""233.490""","=""""","=""5.15e+07""",B,"=""311715.2""","=""354530.5""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""233.490""","=""""","=""8.59e+06""",B,"=""311715.2""","=""354530.5""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""234.851""","=""""","=""3.31e+06""",B,"=""379300.1""","=""421867.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""234.984""","=""""","=""8.27e+06""",B,"=""379300.1""","=""421843.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.098""","=""""","=""1.65e+07""",B,"=""379344.8""","=""421867.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.231""","=""""","=""2.64e+06""",B,"=""379344.8""","=""421843.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.255""","=""""","=""1.18e+07""",B,"=""379300.1""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.255""","=""""","=""2.36e+07""",B,"=""379300.1""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.503""","=""""","=""1.97e+07""",B,"=""379344.8""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.503""","=""""","=""1.50e+07""",B,"=""379344.8""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.503""","=""""","=""4.70e+06""",B,"=""379344.8""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.503""","=""""","=""5.91e+06""",B,"=""379344.8""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.524""","=""""","=""8.87e+06""",B,"=""379397.6""","=""421843.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.796""","=""""","=""2.81e+07""",B,"=""379397.6""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.796""","=""""","=""8.43e+06""",B,"=""379397.6""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.796""","=""""","=""1.40e+06""",B,"=""379397.6""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).6d""","=""4D*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""235.796""","=""""","=""1.37e+07""",B,"=""379397.6""","=""421794.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).6d""","=""4P*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""236.749""","=""""","=""9.12e+07""",B,"=""336206.9""","=""378432.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""237.056""","=""""","=""6.06e+07""",B,"=""336261.6""","=""378432.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""237.253""","=""""","=""3.02e+07""",B,"=""336296.6""","=""378432.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,2,"=""""","=""238.6805""","=""""","=""3.30e+06""",C,"=""168892.21""","=""210776.45""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.4d""","=""3P*""","=""0""",3,1,,"=""T5520LS""","=""""",
N,2,"=""""","=""238.8232""","=""""","=""3.29e+06""",C+,"=""168892.21""","=""210751.43""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.4d""","=""3P*""","=""1""",3,3,,"=""T5520LS""","=""""",
N,2,"=""""","=""239.0869""","=""""","=""3.28e+06""",C+,"=""168892.21""","=""210705.26""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.4d""","=""3P*""","=""2""",3,5,,"=""T5520LS""","=""""",
N,3,"=""""","=""239.283""","=""""","=""1.64e+06""",C+,"=""320287.2""","=""362066""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.7d""","=""2D""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""239.283""","=""""","=""7.79e+04""",C,"=""320287.2""","=""362066""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.7d""","=""2D""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""239.289""","=""""","=""1.56e+06""",C+,"=""320288.3""","=""362066""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.7d""","=""2D""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""239.851""","=""""","=""2.12e+06""",B,"=""301082.6""","=""342762.5""","=""2s2.4s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""240.260""","=""""","=""2.11e+06""",B,"=""301082.6""","=""342691.5""","=""2s2.4s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""241.807""","=""""","=""6.86e+06""",C+,"=""320978.2""","=""362320.9""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s2.7f""","=""2F*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""242.327""","=""""","=""7.30e+06""",C+,"=""321066.8""","=""362320.9""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""242.327""","=""""","=""4.87e+05""",C,"=""321066.8""","=""362320.9""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""244.297""","=""""","=""1.03e+02""",D,"=""145875.7""","=""186797.1""","=""2s.2p2""","=""2P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""T6335""","=""""",
N,3,"=""""","=""244.956""","=""""","=""3.69e+02""",D,"=""145985.8""","=""186797.1""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""T6335""","=""""",
N,3,"=""""","=""245.395""","=""""","=""1.21e+07""",B,"=""336206.9""","=""376945.2""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""245.929""","=""""","=""3.60e+06""",B,"=""336206.9""","=""376856.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,2,"=""246.127""","=""246.1270""","=""160""","=""4.11e+07""",B,"=""174212.03""","=""214829.18""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.5s""","=""1P*""","=""1""",5,3,,"=""T5520""","=""L3513""",
N,3,"=""""","=""246.260""","=""""","=""8.37e+06""",B,"=""336261.6""","=""376856.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""246.299""","=""""","=""5.98e+05""",B,"=""336206.9""","=""376795.7""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""246.631""","=""""","=""6.35e+06""",B,"=""336261.6""","=""376795.7""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""246.844""","=""""","=""4.95e+06""",B,"=""336296.6""","=""376795.7""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""246.907""","=""""","=""1.98e+06""",B,"=""336261.6""","=""376750.4""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""246.997""","=""""","=""1.38e+07""",B,"=""379397.6""","=""419871.7""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2p2.(3P).3p""","=""4D*""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.108""","=""""","=""9.65e+06""",B,"=""379344.8""","=""419800.7""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2p2.(3P).3p""","=""4D*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.121""","=""""","=""9.87e+06""",B,"=""336296.6""","=""376750.4""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.220""","=""""","=""5.74e+06""",B,"=""379300.1""","=""419737.6""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2p2.(3P).3p""","=""4D*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.431""","=""""","=""4.12e+06""",B,"=""379397.6""","=""419800.7""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2p2.(3P).3p""","=""4D*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.449""","=""""","=""1.14e+07""",B,"=""379300.1""","=""419700.3""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2p2.(3P).3p""","=""4D*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.494""","=""""","=""7.32e+06""",B,"=""379344.8""","=""419737.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2p2.(3P).3p""","=""4D*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.723""","=""""","=""2.28e+06""",B,"=""379344.8""","=""419700.3""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2p2.(3P).3p""","=""4D*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""247.818""","=""""","=""6.83e+05""",B,"=""379397.6""","=""419737.6""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2p2.(3P).3p""","=""4D*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""248.282""","=""""","=""1.04e+07""",B,"=""334540.2""","=""374804.8""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""248.456""","=""""","=""9.32e+07""",B,"=""334568.3""","=""374804.8""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""248.643""","=""""","=""1.03e+08""",B,"=""334540.2""","=""374746.4""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,2,"=""""","=""248.8123""","=""""","=""3.33e+06""",C+,"=""170572.61""","=""210751.43""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.4d""","=""3P*""","=""1""",1,3,,"=""T5520LS""","=""""",
N,2,"=""""","=""248.8758""","=""""","=""9.97e+06""",C+,"=""170607.89""","=""210776.45""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3P*""","=""0""",3,1,,"=""T5520LS""","=""""",
N,2,"=""""","=""249.0245""","=""""","=""2.61e+07""",C,"=""166765.66""","=""206910.24""","=""2s.2p3""","=""1P*""","=""1""","=""2s2.2p.4p""","=""1S""","=""0""",3,1,,"=""T6385""","=""""",
N,2,"=""""","=""249.0309""","=""""","=""2.49e+06""",C+,"=""170607.89""","=""210751.43""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3P*""","=""1""",3,3,,"=""T5520LS""","=""""",
N,2,"=""""","=""249.3177""","=""""","=""2.48e+06""",C+,"=""170607.89""","=""210705.26""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3P*""","=""2""",3,5,,"=""T5520LS""","=""""",
N,2,"=""""","=""249.3934""","=""""","=""4.13e+06""",C+,"=""170666.23""","=""210751.43""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3P*""","=""1""",5,3,,"=""T5520LS""","=""""",
N,2,"=""249.683""","=""249.6810""","=""110""","=""7.41e+06""",C+,"=""170666.23""","=""210705.26""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3P*""","=""2""",5,5,,"=""T5520LS""","=""L3513""",
N,2,"=""252.022""","=""252.0215""","=""110""","=""1.26e+07""",C+,"=""170572.61""","=""210239.83""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.4d""","=""3D*""","=""1""",1,3,,"=""T5520LS""","=""L3513""",
N,2,"=""252.079""","=""252.0791""","=""160""","=""1.70e+07""",C+,"=""170607.89""","=""210266.04""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""2""",3,5,,"=""T5520LS""","=""L3513""",
N,2,"=""252.223""","=""252.2235""","=""220""","=""2.26e+07""",C+,"=""170666.23""","=""210301.68""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""3""",5,7,,"=""T5520LS""","=""L3513""",
N,2,"=""""","=""252.2459""","=""""","=""9.42e+06""",C+,"=""170607.89""","=""210239.83""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""1""",3,3,,"=""T5520LS""","=""""",
N,2,"=""""","=""252.4505""","=""""","=""5.64e+06""",C+,"=""170666.23""","=""210266.04""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""2""",5,5,,"=""T5520LS""","=""""",
N,2,"=""""","=""252.6177""","=""""","=""6.25e+05""",C,"=""170666.23""","=""210239.83""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""1""",5,3,,"=""T5520LS""","=""""",
N,2,"=""259.094""","=""259.0938""","=""110""","=""1.13e+07""",D,"=""166765.66""","=""205350.18""","=""2s.2p3""","=""1P*""","=""1""","=""2s2.2p.4p""","=""1D""","=""2""",3,5,,"=""T5520,T6385""","=""L3513""",
N,3,"=""""","=""262.152""","=""""","=""2.98e+07""",B,"=""311690.3""","=""349824.8""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.6s""","=""2S""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""262.323""","=""""","=""5.96e+07""",B,"=""311715.2""","=""349824.8""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.6s""","=""2S""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""268.691""","=""""","=""9.26e+07""",C+,"=""317747.7""","=""354954.1""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""268.920""","=""268.921""","=""90*""","=""6.60e+06""",C+,"=""317779.5""","=""354954.1""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",6,6,,"=""T7192LS""","=""L3513""",
N,3,"=""268.920""","=""268.921""","=""90*""","=""9.90e+07""",C+,"=""317779.5""","=""354954.1""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",6,8,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""269.611""","=""""","=""1.59e+07""",B,"=""301082.6""","=""338162.1""","=""2s2.4s""","=""2S""","=""1/2""","=""2s2.5p""","=""2P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""269.670""","=""""","=""1.59e+07""",B,"=""301082.6""","=""338153.9""","=""2s2.4s""","=""2S""","=""1/2""","=""2s2.5p""","=""2P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,2,"=""270.984""","=""270.9841""","=""160""","=""2.64e+07""",B,"=""174212.03""","=""211103.63""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.4d""","=""1F*""","=""3""",5,7,,"=""T5520""","=""L3513""",
N,3,"=""""","=""271.398""","=""""","=""1.27e+06""",B,"=""230408.6""","=""267244.0""","=""2p3""","=""2P*""","=""3/2""","=""2s2.3d""","=""2D""","=""5/2""",4,6,,"=""T6335n""","=""""",
N,3,"=""""","=""271.407""","=""""","=""1.06e+06""",B,"=""230404.3""","=""267238.4""","=""2p3""","=""2P*""","=""1/2""","=""2s2.3d""","=""2D""","=""3/2""",2,4,,"=""T6335n""","=""""",
N,3,"=""""","=""271.439""","=""""","=""2.11e+05""",B,"=""230408.6""","=""267238.4""","=""2p3""","=""2P*""","=""3/2""","=""2s2.3d""","=""2D""","=""3/2""",4,4,,"=""T6335n""","=""""",
N,3,"=""""","=""273.436""","=""""","=""1.09e+07""",B,"=""297151.2""","=""333712.0""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2s2.5s""","=""2S""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,2,"=""""","=""273.4735""","=""""","=""5.03e+06""",B,"=""178273.38""","=""214829.18""","=""2s2.2p.3p""","=""1S""","=""0""","=""2s2.2p.5s""","=""1P*""","=""1""",1,3,,"=""T5520""","=""""",
N,3,"=""""","=""274.285""","=""""","=""2.16e+07""",B,"=""297264.4""","=""333712.0""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2s2.5s""","=""2S""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,2,"=""""","=""274.4678""","=""""","=""4.28e+04""",D,"=""166765.66""","=""203189.03""","=""2s.2p3""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""1""",3,3,,"=""T6385""","=""""",
N,2,"=""""","=""278.0940""","=""""","=""1.76e+05""",D,"=""166765.66""","=""202714.12""","=""2s.2p3""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",3,3,,"=""T6385""","=""""",
N,2,"=""279.922""","=""279.9218""","=""110""","=""1.62e+07""",B,"=""174212.03""","=""209925.76""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.4d""","=""1D*""","=""2""",5,5,,"=""T5520""","=""L3513""",
N,3,"=""""","=""280.070""","=""""","=""2.11e+05""",C+,"=""317747.7""","=""353442.5""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""280.085""","=""""","=""2.11e+06""",B,"=""317747.7""","=""353440.6""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""280.320""","=""""","=""1.89e+06""",B,"=""317779.5""","=""353442.5""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,2,"=""282.364""","=""282.3631""","=""110""","=""2.39e+07""",C+,"=""166765.66""","=""202170.63""","=""2s.2p3""","=""1P*""","=""1""","=""2s2.2p.4p""","=""1P""","=""1""",3,3,,"=""T5520,T6385""","=""L3513""",
N,2,"=""""","=""285.864""","=""""","=""2.02e-03""",C,"=""109216.6""","=""144187.94""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p3""","=""1D*""","=""2""",3,5,M1,"=""T7333""","=""""",
N,2,"=""""","=""285.873""","=""""","=""6.06e-03""",C,"=""109217.6""","=""144187.94""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p3""","=""1D*""","=""2""",5,5,M1,"=""T7333""","=""""",
N,3,"=""""","=""286.286""","=""""","=""1.67e+05""",C+,"=""342691.5""","=""377611.3""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""286.561""","=""""","=""6.65e+04""",C,"=""342691.5""","=""377577.9""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""286.870""","=""""","=""3.31e+04""",C,"=""342762.5""","=""377611.3""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""287.145""","=""""","=""1.32e+05""",C+,"=""342762.5""","=""377577.9""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""289.727""","=""""","=""1.77e+00""",D+,"=""186797.1""","=""221302.2""","=""2p3""","=""4S*""","=""3/2""","=""2s2.3s""","=""2S""","=""1/2""",4,2,,"=""T6335""","=""""",
N,3,"=""""","=""291.942""","=""""","=""3.08e+06""",C+,"=""320287.2""","=""354530.5""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""291.942""","=""""","=""1.47e+05""",C,"=""320287.2""","=""354530.5""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""291.952""","=""""","=""2.93e+06""",C+,"=""320288.3""","=""354530.5""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6d""","=""2D""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""294.240""","=""""","=""1.36e+07""",C+,"=""320978.2""","=""354954.1""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""295.010""","=""""","=""1.45e+07""",C+,"=""321066.8""","=""354954.1""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",6,8,,"=""T7192LS""","=""""",
