element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hf,1,"=""456.5950""","=""0.0011""","=""456.593715""","=""0.000017""","=""13000""","=""5.23e+06""",B+,"=""5638.6151""","=""27533.7873""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""459.8801""","=""0.0007""","=""459.87979""","=""0.00003""","=""12000""","=""1.6e+06""",D+,"=""0.0000""","=""21738.7225""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""459.8920""","=""0.0011""","=""459.891547""","=""0.000017""","=""8300""","=""1.73e+06""",B,"=""4567.6413""","=""26305.8081""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""",9,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""460.8093""","=""0.0007""","=""460.809017""","=""0.000019""","=""4100""","=""1.28e+06""",B,"=""6572.5498""","=""28267.4366""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""2""",3,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""464.7470""","=""0.0011""","=""464.747244""","=""0.000017""","=""81""","=""6.e+04""",E,"=""5638.6151""","=""27149.6642""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""2""",5,5,,"=""T5346""","=""L16323""",
Hf,1,"=""465.5198""","=""0.0007""","=""465.518924""","=""0.000020""","=""12000""","=""9.00e+06""",B+,"=""6572.5498""","=""28047.9411""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 3S*""","=""1""",3,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""475.7611""","=""0.0007""","=""475.760879""","=""0.000021""","=""1800""","=""5.1e+05""",C+,"=""8983.7652""","=""29996.8513""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""476.9372""","=""0.0010""","=""476.93771""","=""0.00003""","=""730""","=""1.73e+05""",C+,"=""6572.5498""","=""27533.7873""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""1""",3,3,,"=""T5346""","=""L16323""",
Hf,1,"=""477.3720""","=""0.0011""","=""477.37157""","=""0.00003""","=""5400""","=""1.80e+06""",B,"=""5521.7776""","=""26463.9649""","=""5d2.6s2""","=""a 3P""","=""0""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""",1,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""480.0500""","=""0.0011""","=""480.049829""","=""0.000016""","=""17000""","=""1.03e+07""",B+,"=""5638.6151""","=""26463.9649""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""481.3500""","=""0.0007""","=""481.349481""","=""0.000021""","=""240""","=""2.4e+04""",E,"=""8983.7652""","=""29752.8870""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""2""",5,5,,"=""T5346""","=""L16323""",
Hf,1,"=""483.7238""","=""0.0007""","=""483.723489""","=""0.000017""","=""5000""","=""8.29e+05""",B,"=""5638.6151""","=""26305.8081""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""485.8420""","=""0.0011""","=""485.841072""","=""0.000021""","=""2200""","=""6.00e+05""",B,"=""6572.5498""","=""27149.6642""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""2""",3,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""488.9932""","=""0.0007""","=""488.99339""","=""0.00003""","=""610""","=""8.6e+04""",C,"=""10532.5690""","=""30977.0338""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""5""",9,11,,"=""T5346""","=""L16323""",
Hf,1,"=""489.6340""","=""0.0011""","=""489.634089""","=""0.000024""","=""1200""","=""1.8e+05""",C+,"=""8983.7652""","=""29401.4784""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""494.4820""","=""0.0015""","=""494.47996""","=""0.00003""","=""270""","=""8.e+03""",E,"=""4567.6413""","=""24785.2649""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""4""",9,9,,"=""T5346""","=""L16323""",
Hf,1,"=""494.8951""","=""0.0007""","=""494.894148""","=""0.000025""","=""2700""","=""9.78e+05""",B,"=""10532.5690""","=""30733.2723""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""4""",9,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""497.5260""","=""0.0011""","=""497.525232""","=""0.000018""","=""10000""","=""7.0e+05""",D+,"=""2356.6756""","=""22450.5521""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""2""",7,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""499.97""","=""""","=""499.97035""","=""0.00003""","=""330:""","=""5.4e+04""",D+,"=""5638.6151""","=""25634.2234""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""2""",5,5,,"=""T5346""","=""L21563c153""",
Hf,1,"=""502.5910""","=""0.0011""","=""502.58928""","=""0.00003""","=""350""","=""1.2e+05""",D+,"=""6572.5498""","=""26463.9649""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""",3,3,,"=""T5346""","=""L16323""",
Hf,1,"=""504.7440""","=""0.0007""","=""504.743848""","=""0.000023""","=""6500""","=""3.50e+06""",B+,"=""8983.7652""","=""28790.2720""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""510.0640""","=""0.0011""","=""510.062979""","=""0.000024""","=""1100""","=""2.5e+05""",C+,"=""8983.7652""","=""28583.7248""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""513.6200""","=""0.0011""","=""513.61846""","=""0.00003""","=""550""","=""1.2e+05""",D+,"=""10532.5690""","=""29996.8513""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""3""",9,7,,"=""T5346""","=""L16323""",
Hf,1,"=""518.4295""","=""0.0007""","=""518.429069""","=""0.000022""","=""350""","=""1.1e+05""",D+,"=""8983.7652""","=""28267.4366""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""2""",5,5,,"=""T5346""","=""L16323""",
Hf,1,"=""524.0424""","=""0.0007""","=""524.04240""","=""0.00003""","=""170""","=""9.e+03""",E,"=""4567.6413""","=""23644.7563""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d.6s2.(a 2D).6p""","=""z 1F*""","=""3""",9,7,,"=""T5346""","=""L16323""",
Hf,1,"=""524.3984""","=""0.0007""","=""524.398077""","=""0.000025""","=""4200""","=""3.63e+06""",B,"=""8983.7652""","=""28047.9411""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 3S*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""524.4670""","=""0.0011""","=""524.46692""","=""0.00003""","=""850""","=""1.24e+05""",C+,"=""6572.5498""","=""25634.2234""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""2""",3,5,,"=""T5346""","=""L21976,L16323""",
