element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,3,"=""""","=""291.5009894""","=""0.0000021""","=""""","=""3.6115e+07""",AA,"=""(925932.85143)""","=""(960228.010455)""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5074187""","=""0.0000021""","=""""","=""9.6819e+06""",AA,"=""(925932.587659)""","=""(960226.990320)""","=""4p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5103265""","=""0.0000021""","=""""","=""3.6130e+07""",AA,"=""(925932.85143)""","=""(960226.912020)""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5271194""","=""0.0000021""","=""""","=""9.7378e+07""",AA,"=""(925936.28876)""","=""(960228.374000)""","=""4d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5271663""","=""0.0000021""","=""""","=""6.9892e+07""",AA,"=""(925936.294951)""","=""(960228.37467)""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5302102""","=""0.0000021""","=""""","=""7.6342e+05""",AA,"=""(925936.28876)""","=""(960228.010455)""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5302786""","=""0.0000021""","=""""","=""1.1650e+07""",AA,"=""(925936.294951)""","=""(960228.00859)""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5360516""","=""0.0000021""","=""""","=""1.0731e+08""",AA,"=""(925937.52206)""","=""(960228.556687)""","=""4f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",6,8,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5360676""","=""0.0000021""","=""""","=""1.0433e+08""",AA,"=""(925937.52429)""","=""(960228.557040)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5375992""","=""0.0000021""","=""""","=""8.2804e+04""",AA,"=""(925937.52206)""","=""(960228.37467)""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",6,6,,"=""T7771""","=""""",
