element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Xe,2,"=""526.044""","=""""","=""526.044+""","=""200""","=""2.2e+07""",,"=""104250.06""","=""123254.60""","=""5s2.5p4.(3P<1>).5d""","=""2[1]""","=""1/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""",2,4,,"=""T8043""","=""L6925""",
Xe,2,"=""526.195""","=""""","=""526.198+""","=""200""","=""8.5e+07""",,"=""112924.84""","=""131923.79""","=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""",4,4,,"=""T8043""","=""L6925""",
Xe,2,"=""529.222""","=""""","=""529.221+""","=""1000""","=""8.9e+07""",,"=""93068.44""","=""111958.89""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""5/2""",6,6,,"=""T8043""","=""L6925""",
Xe,1,"=""530.637""","=""0.001""","=""530.636+""","=""3""","=""1.60e+05""",C+,"=""77269.145""","=""96109.22""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",3,5,,"=""T5818""","=""L4739""",
Xe,2,"=""537.239""","=""""","=""537.239+""","=""300""","=""7.1e+07""",,"=""95064.38""","=""113672.89""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""1/2""",4,2,,"=""T8043""","=""L6925""",
Xe,2,"=""541.915""","=""""","=""541.914+""","=""2000""","=""6.2e+07""",,"=""95064.38""","=""113512.36""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""5/2""",4,6,,"=""T8043""","=""L6925""",
Xe,2,"=""543.896""","=""""","=""543.897+""","=""400""","=""7.4e+07""",,"=""102799.07""","=""121179.80""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<1>).6p""","=""2[0]*""","=""1/2""",4,2,,"=""T8043""","=""L6925""",
Xe,1,"=""""","=""""","=""544.738+""","=""""","=""4.0e+04""",C,"=""78119.798""","=""96472.13""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",5,5,,"=""T5818""","=""""",
Xe,1,"=""545.645""","=""0.001""","=""545.646+""","=""2""","=""4.40e+04""",B,"=""77269.145""","=""95590.97""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",3,3,,"=""T5818""","=""L4739""",
Xe,1,"=""546.0037""","=""0.0002""","=""546.0034+""","=""15""","=""2.50e+05""",B+,"=""77269.145""","=""95578.961""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",3,5,,"=""T5818""","=""L7292""",
