element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,2,"=""202.7103""","=""202.70978""","=""10""","=""1.27e+07""",C,"=""208484.202""","=""257799.93""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",6,4,,"=""T5723LS""","=""L10549""",
O,2,"=""202.7603""","=""202.76014""","=""10""","=""2.34e+07""",C,"=""208392.258""","=""257695.74""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""L10549""",
O,2,"=""""","=""202.8727""","=""""","=""2.26e+06""",D,"=""212593.82""","=""261869.94""","=""2s.2p4""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",4,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""203.5801""","=""""","=""3.73e+05""",E,"=""212593.82""","=""261698.75""","=""2s.2p4""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",4,4,,"=""T5723LS""","=""""",
O,3,"=""""","=""203.7450""","=""""","=""2.26e+06""",D,"=""356736.30""","=""405801.50""","=""2s2.2p.(2P*).4s""","=""3P*""","=""0""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",1,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""204.0769""","=""""","=""3.04e+06""",C,"=""356844.98""","=""405830.38""","=""2s2.2p.(2P*).4s""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3D""","=""2""",3,5,,"=""T5376LS""","=""""",
O,3,"=""""","=""204.1973""","=""""","=""1.69e+06""",D,"=""356844.98""","=""405801.50""","=""2s2.2p.(2P*).4s""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",3,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""204.228""","=""""","=""2.18e+07""",C+,"=""365726.76""","=""414676""","=""2s2.2p.(2P*).4p""","=""1P""","=""1""","=""2s2.2p.(2P*).6d""","=""1D*""","=""2""",3,5,,"=""T5376""","=""""",
O,2,"=""""","=""204.2809""","=""""","=""1.85e+06""",D,"=""212762.25""","=""261698.75""","=""2s.2p4""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",2,4,,"=""T5723LS""","=""""",
O,3,"=""""","=""205.0080""","=""""","=""4.00e+06""",C,"=""357117.01""","=""405879.97""","=""2s2.2p.(2P*).4s""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""3""",5,7,,"=""T5376LS""","=""""",
O,3,"=""""","=""205.2167""","=""""","=""9.97e+05""",D,"=""357117.01""","=""405830.38""","=""2s2.2p.(2P*).4s""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""2""",5,5,,"=""T5376LS""","=""""",
O,3,"=""""","=""205.309""","=""""","=""3.97e+06""",C,"=""366488.45""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""1""","=""2s2.2p.(2P*).6d""","=""3D*""","=""1""",3,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""205.309""","=""""","=""7.93e+05""",D,"=""366488.45""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""1""","=""2s2.2p.(2P*).6d""","=""3D*""","=""2""",3,5,,"=""T5376LS""","=""""",
O,3,"=""""","=""205.3385""","=""""","=""1.11e+05""",D,"=""357117.01""","=""405801.50""","=""2s2.2p.(2P*).4s""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",5,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""205.762""","=""""","=""3.66e+06""",C,"=""366595.76""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).6d""","=""3D*""","=""2""",5,5,,"=""T5376LS""","=""""",
