element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fe,1,"=""487.0036""","=""0.0004""","=""487.00363""","=""0.00003""","=""98""","=""3.88e+05""",C+,"=""31686.351""","=""52214.345""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",5,3,,"=""T6110""","=""L11631""",
Fe,1,"=""487.13179""","=""0.00007""","=""487.13178""","=""0.00003""","=""63000""","=""2.44e+07""",B+,"=""23110.939""","=""43633.533""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""",7,5,,"=""T5720""","=""L11631""",
Fe,1,"=""487.19278""","=""0.00007""","=""487.19279""","=""0.00003""","=""540""","=""2.84e+05""",C+,"=""26224.969""","=""46744.993""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",7,7,,"=""T5720""","=""L11631""",
Fe,1,"=""487.21375""","=""0.00007""","=""487.21373""","=""0.00003""","=""38000""","=""2.54e+07""",B+,"=""23244.838""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",3,3,,"=""T5720""","=""L11631""",
Fe,1,"=""487.37510""","=""0.00019""","=""487.37508""","=""0.00003""","=""112""","=""5.5e+04""",E,"=""26623.735""","=""47136.084""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",5,5,,"=""T2578n""","=""L11631""",
Fe,2,"=""487.4496""","=""""","=""487.44957""","=""0.00003""","="":""","=""1.99e-01""",C+,"=""2430.1369""","=""22939.3512""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",8,6,E2,"=""T9588,T10588c104""","=""L22747""",
Fe,1,"=""487.58773""","=""0.00007""","=""487.58769""","=""0.00003""","=""1120""","=""3.4e+05""",E,"=""26874.550""","=""47377.955""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d7.(4F).5s""","=""e 5F""","=""4""",11,9,,"=""T2578n""","=""L11631""",
Fe,1,"=""487.6188""","=""0.0004""","=""487.61860""","=""0.00003""","=""71""","=""2.7e+04""",E,"=""26224.969""","=""46727.074""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""2""",7,5,,"=""T2578n""","=""L11631""",
Fe,1,"=""487.76060""","=""0.00019""","=""487.76042""","=""0.00003""","=""151""","=""2.6e+04""",E,"=""24180.862""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",7,9,,"=""T2578n""","=""L11631""",
Fe,1,"=""487.82108""","=""0.00007""","=""487.82107""","=""0.00005""","=""18200""","=""1.21e+07""",B+,"=""23270.384""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""0""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",1,3,,"=""T5720""","=""L11631""",
Fe,3,"=""488.111""","=""0.020""","=""488.104""","=""0.003""","=""""","=""6.2e-03""",C,"=""0.00""","=""20481.72""","=""3d6""","=""5D""","=""4""","=""3d6""","=""3H""","=""4""",9,9,M1,"=""u45""","=""L3453""",
Fe,1,"=""488.17175""","=""0.00007""","=""488.17174""","=""0.00003""","=""2820""","=""5.15e+05""",C+,"=""26627.609""","=""47106.484""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""4""",9,9,,"=""T5720""","=""L11631""",
Fe,2,"=""488.31840""","=""0.00016""","=""488.318004""","=""0.000024""","=""70""","=""1.7e+06""",D+,"=""82853.704""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""488.32923""","=""0.00004""","=""488.32924""","=""0.00003""","=""310""","=""5.8e+06""",C+,"=""82853.704""","=""103325.974""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""""","=""""","=""488.65675""","=""0.00003""","=""""","=""2.3e-01""",E,"=""415.933""","=""20874.482""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.4s2""","=""b 3F2""","=""3""",7,7,M1,"=""T6409""","=""""",
Fe,1,"=""488.90012""","=""0.00007""","=""488.90008""","=""0.00003""","=""1170""","=""1.13e+05""",C+,"=""17726.988""","=""38175.355""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""3""",5,7,,"=""T5720""","=""L11631""",
Fe,2,"=""488.9623""","=""""","=""488.962268""","=""0.000019""","="":""","=""4.17e-01""",C+,"=""384.7872""","=""20830.5534""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",8,6,M1,"=""T9588,T10588c104""","=""L22760""",
