element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Eu,1,"=""645.796""","=""645.792+""","=""120""","=""2.03e+07""",B+,"=""15421.25""","=""30901.84""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""650.155""","=""650.150+""","=""45""","=""1.24e+07""",B+,"=""15421.25""","=""30798.06""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""651.959""","=""651.957+""","=""60""","=""1.05e+07""",B+,"=""15680.28""","=""31014.48""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""656.787""","=""656.781+""","=""75*""","=""1.01e+07""",B+,"=""15680.28""","=""30901.84""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""9/2""",10,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""659.379""","=""659.374+""","=""45""","=""8.0e+06""",B,"=""15680.28""","=""30841.99""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""669.396""","=""669.396+""","=""95""","=""1.50e+07""",B+,"=""16079.76""","=""31014.48""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""674.488""","=""674.483+""","=""30""","=""4.0e+06""",B,"=""16079.76""","=""30901.84""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""686.454""","=""686.455+""","=""360""","=""5.8e+05""",B+,"=""0.00""","=""14563.57""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""9/2""",8,10,,"=""T7227""","=""L7586,L3475""",
Eu,1,"=""710.648""","=""710.644+""","=""100""","=""2.28e+05""",B+,"=""0.00""","=""14067.86""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""7/2""",8,8,,"=""T7227""","=""L7586,L3475""",
Eu,1,"=""717.555""","=""717.553+""","=""30""","=""2.5e+06""",C+,"=""15680.28""","=""29612.69""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
