element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,1,"=""554.45041""","=""554.45051""","=""0.00004""","=""120""","=""1.29e+07""",B+,"=""15326.741""","=""33357.608""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,2,"=""554.4610""","=""554.4612+""","=""""","=""120bl(Y I)""","=""1.76e+07""",C+,"=""14018.267""","=""32048.788""","=""4d2""","=""a 3P""","=""1""","=""4d.5p""","=""y 3P*""","=""0""",3,1,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""554.6008""","=""554.6009+""","=""""","=""90""","=""5.8e+06""",C+,"=""14098.076""","=""32124.054""","=""4d2""","=""a 3P""","=""2""","=""4d.5p""","=""y 3P*""","=""1""",5,3,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""555.09977""","=""555.09989""","=""0.00004""","=""11""","=""6.9e+06""",D+,"=""16146.138""","=""34155.912""","=""4d.5s.(3D).5p""","=""z 2D*""","=""3/2""","=""5p2.(3P).5s""","=""e 4P""","=""3/2""",4,4,,"=""T4373""","=""L7610""",
Y,1,"=""555.64169""","=""555.64185""","=""0.00004""","=""75""","=""2.2e+07""",C,"=""15245.803""","=""33238.011""","=""4d.5s.(3D).5p""","=""z 4F*""","=""5/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""556.77583""","=""556.77598""","=""0.00004""","=""60""","=""1.38e+07""",B+,"=""15476.533""","=""33432.092""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3F).5p""","=""z 2G*""","=""7/2""",6,8,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""557.30326""","=""557.30369""","=""0.00004""","=""4""","=""1.63e+06""",B+,"=""15326.741""","=""33265.298""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""557.74156""","=""557.74153""","=""0.00007""","=""180""","=""3.2e+07""",B,"=""15864.481""","=""33788.956""","=""4d2.(3F).5s""","=""a 2F""","=""7/2""","=""4d2.(3F).5p""","=""z 2G*""","=""9/2""",8,10,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""558.10767""","=""558.10767""","=""0.00004""","=""24""","=""1.11e+07""",B+,"=""15994.045""","=""33906.761""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",4,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""559.09519""","=""559.09526""","=""0.00004""","=""21""","=""4.9e+06""",B+,"=""15476.533""","=""33357.608""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""559.41240""","=""559.41243""","=""0.00007""","=""21""","=""5.0e+06""",B+,"=""16158.865""","=""34029.802""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""7/2""",6,8,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""560.63346""","=""560.63348""","=""0.00014""","=""120""","=""5.8e+06""",B+,"=""11532.096""","=""29364.111""","=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""4d2.(3F).5p""","=""z 4G*""","=""9/2""",10,10,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""561.9962""","=""561.99657""","=""0.00004""","=""4""","=""1.96e+06""",B,"=""15476.533""","=""33265.298""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""563.0138""","=""563.01301""","=""0.00007""","=""560""","=""4.5e+07""",B+,"=""10937.390""","=""28694.040""","=""4d2.(3F).5s""","=""a 4F""","=""3/2""","=""4d2.(3F).5p""","=""z 4G*""","=""5/2""",4,6,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""563.29067""","=""563.29072""","=""0.00004""","=""21""","=""7.4e+06""",B+,"=""16158.865""","=""33906.761""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
