element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,2,"=""""","=""""","=""364.2033""","=""""","=""1.16e+06""",C,"=""237508.92""","=""264958.29""","=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""3""",5,7,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""364.2685""","=""""","=""1.63e+06""",C,"=""237508.23""","=""264952.69""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""2""",7,5,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""364.2776""","=""""","=""1.30e+07""",C,"=""237508.92""","=""264952.69""","=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""2""",5,5,,"=""T1115CA,LS""","=""""",
F,2,"=""384.709""","=""""","=""384.7086""","=""270""","=""1.3e+08""",D,"=""176493.93""","=""202480.26""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""",5,7,,"=""T1115CA,LS""","=""L369""",
F,2,"=""384.999""","=""""","=""384.9985""","=""260""","=""1.3e+08""",D,"=""176493.93""","=""202460.69""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""",5,5,,"=""T1115CA,LS""","=""L369""",
F,2,"=""385.167""","=""""","=""385.1668""","=""250""","=""1.3e+08""",D,"=""176493.93""","=""202449.35""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""",5,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""402.473""","=""""","=""402.4726""","=""240""","=""1.2e+08""",D,"=""182864.40""","=""207703.79""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""",3,5,,"=""T1115CA,LS""","=""L369""",
F,2,"=""402.501""","=""""","=""402.5010""","=""220""","=""1.2e+08""",D,"=""182864.40""","=""207702.04""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""",3,1,,"=""T1115CA,LS""","=""L369""",
F,2,"=""402.549""","=""""","=""402.5491""","=""230""","=""1.2e+08""",D,"=""182864.40""","=""207699.07""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",3,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""410.307""","=""""","=""410.3075""","=""190""","=""1.54e+08""",C,"=""207699.07""","=""232064.16""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""",3,5,,"=""T1115CA,LS""","=""L369""",
