element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,1,"=""669.922960""","=""669.92297+""","=""60""","=""1.68e+06""",C+,"=""93123.3409""","=""108046.3102""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",5,7,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""672.33440""","=""672.33442+""","=""4""","=""1.31e+05""",D+,"=""93123.3409""","=""107992.7867""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",5,5,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""674.00985""","=""674.00982+""","=""20""","=""6.7e+05""",D+,"=""92964.3943""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",3,5,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""679.54104""","=""679.54103+""","=""4""","=""1.31e+05""",D,"=""92964.3943""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",3,3,,"=""T3774n,T3384,T7227,u41""","=""L11281""",
Kr,1,"=""681.310882""","=""681.31087+""","=""50""","=""2.57e+06""",D+,"=""93123.3409""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",5,5,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""682.90888""","=""682.90887+""","=""8""","=""1.77e+06""",D+,"=""92964.3943""","=""107603.5969""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",3,1,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""684.64003""","=""684.64003+""","=""20""","=""3.3e+05""",D+,"=""91168.5150""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",3,3,,"=""T3600n,T7227,u41""","=""L11281""",
Kr,1,"=""686.96308""","=""686.96307+""","=""20""","=""2.22e+06""",D+,"=""93123.3409""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",5,3,,"=""T3774n,T3384,T7227,u41""","=""L11281""",
Kr,1,"=""690.46787""","=""690.46788+""","=""100""","=""1.59e+06""",C+,"=""91168.5150""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",3,5,,"=""T3408n,T7199,T3378""","=""L11281""",
Kr,1,"=""700.079""","=""700.07823+""","=""7""","=""4.1e+05""",D+,"=""94092.8626""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",1,3,,"=""T3600n,u41""","=""L7408""",
