element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,2,"=""458.819836""","=""0.000013""","=""458.819838""","=""0.000019""","=""400""","=""1.2e+07""",D,"=""32836.6527""","=""54625.5946""","=""3d5""","=""b 4F""","=""7/2""","=""3d4.(5D).4p""","=""z 4D*""","=""5/2""",8,6,,"=""T4502""","=""L18847""",
Cr,2,"=""458.98966""","=""0.00009""","=""458.989502""","=""0.000021""","=""6""","=""1.2e+05""",D,"=""32844.7068""","=""54625.5946""","=""3d5""","=""b 4F""","=""3/2""","=""3d4.(5D).4p""","=""z 4D*""","=""5/2""",4,6,,"=""T3963n""","=""L18847""",
Cr,1,"=""459.13908""","=""0.00005""","=""459.139098""","=""0.000013""","=""490""","=""1.1e+06""",B,"=""7810.7795""","=""29584.5708""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",3,5,,"=""T4624,T4913""","=""L14866""",
Cr,2,"=""459.205241""","=""0.000015""","=""459.205249""","=""0.000019""","=""92""","=""3.2e+06""",D,"=""32854.9399""","=""54625.5946""","=""3d5""","=""b 4F""","=""5/2""","=""3d4.(5D).4p""","=""z 4D*""","=""5/2""",6,6,,"=""T4502""","=""L18847""",
Cr,1,"=""459.2538""","=""0.0002""","=""459.25385""","=""0.00011""","=""3""","=""1.3e+07""",D,"=""35933.906""","=""57702.257""","=""3d5.(2H).4s""","=""b 3H""","=""6""","=""3d5.(2F1).4p""","=""t 3G*""","=""5""",13,11,,"=""T3963""","=""L14866""",
Cr,1,"=""459.55895""","=""0.00005""","=""459.55894""","=""0.00004""","=""170""","=""4.7e+07""",D,"=""33762.6622""","=""55516.562""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""y 1I*""","=""6""",13,13,,"=""T1621n""","=""L14866""",
Cr,1,"=""460.0099""","=""0.0004""","=""460.00957""","=""0.00005""","=""40""","=""1.6e+06""",D,"=""20519.5515""","=""42252.141""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""6""",13,13,,"=""T4288""","=""L9190""",
Cr,1,"=""460.07485""","=""0.00005""","=""460.074835""","=""0.000013""","=""1190""","=""2.5e+06""",B,"=""8095.1842""","=""29824.6909""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",7,7,,"=""T4624,T4913""","=""L14866""",
Cr,1,"=""460.10164""","=""0.00005""","=""460.10163""","=""0.00005""","=""270""","=""1.5e+06""",D,"=""20523.8999""","=""42252.141""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""6""",11,13,,"=""T3963""","=""L14866""",
Cr,1,"=""460.6364""","=""0.002""","=""460.63582""","=""0.00011""","=""15""","=""1.2e+07""",D,"=""35884.255""","=""57587.299""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d5.(2F1).4p""","=""t 3G*""","=""4""",11,9,,"=""T3963""","=""L808""",
