element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mg,3,"=""208.5891""","=""208.5886""","=""15""","=""1.61e+08""",B+,"=""431530.0""","=""479456.0""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,1,"=""""","=""208.91489""","=""""","=""2.69e+00""",B+,"=""0.000""","=""47851.162""","=""2p6.3s2""","=""1S""","=""0""","=""3s.4p""","=""3P*""","=""2""",1,5,M2,"=""c43""","=""""",
Mg,3,"=""""","=""209.196""","=""""","=""4.73e-04""",B,"=""426868.1""","=""474655.0""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,M2,"=""c46""","=""""",
Mg,3,"=""209.1963""","=""209.1959""","=""20""","=""2.57e+08""",A,"=""426868.1""","=""474655.0""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,,"=""c46""","=""L1434""",
Mg,3,"=""209.4207""","=""209.4220""","=""2""","=""1.21e+07""",C+,"=""431530.0""","=""479265.3""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""0""",3,1,,"=""c46""","=""L1434""",
Mg,3,"=""209.7936""","=""209.7934""","=""13""","=""1.50e+08""",A,"=""427852.1""","=""475502.9""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3D""","=""1""",1,3,,"=""c46""","=""L1434""",
Mg,3,"=""211.2773""","=""211.2776""","=""15""","=""1.69e+08""",B+,"=""431530.0""","=""478846.1""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""2""",3,5,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""211.864""","=""""","=""3.43e-03""",A,"=""426868.1""","=""474053.2""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""3""",3,7,M2,"=""c46""","=""""",
Mg,3,"=""213.4054""","=""213.4049""","=""16""","=""2.36e+08""",B,"=""431530.0""","=""478374.5""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1P""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""213.595""","=""""","=""7.72e-04""",B+,"=""427852.1""","=""474655.0""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3D""","=""2""",1,5,M2,"=""c46""","=""""",
Mg,1,"=""""","=""215.43526""","=""""","=""1.64e+03""",A,"=""0.000""","=""46403.065""","=""2p6.3s2""","=""1S""","=""0""","=""3s.3d""","=""1D""","=""2""",1,5,E2,"=""c43,T1""","=""""",
Mg,3,"=""217.7694""","=""217.7697""","=""20""","=""2.12e+08""",B+,"=""431530.0""","=""477435.7""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",3,5,,"=""c46""","=""L1434""",
Mg,2,"=""""","=""221.6911""","=""""","=""8.95e+04""",C,"=""69804.95""","=""114898.72""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.9p""","=""2P*""","=""3/2""",2,4,,"=""c31""","=""""",
Mg,2,"=""""","=""221.7006""","=""""","=""9.63e+04""",C,"=""69804.95""","=""114896.79""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.9p""","=""2P*""","=""1/2""",2,2,,"=""c31""","=""""",
Mg,2,"=""""","=""222.2484""","=""""","=""4.92e-04""",E,"=""35669.31""","=""80650.02""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.4p""","=""2P*""","=""3/2""",2,4,M1,"=""c28""","=""""",
Mg,2,"=""""","=""222.2484""","=""""","=""4.05e+02""",A,"=""35669.31""","=""80650.02""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.4p""","=""2P*""","=""3/2""",2,4,E2,"=""c28""","=""""",
Mg,2,"=""""","=""222.3993""","=""""","=""1.68e-04""",E,"=""35669.31""","=""80619.50""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.4p""","=""2P*""","=""1/2""",2,2,M1,"=""c28""","=""""",
Mg,2,"=""""","=""222.7018""","=""""","=""8.31e-04""",E,"=""35760.88""","=""80650.02""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4p""","=""2P*""","=""3/2""",4,4,M1,"=""c28""","=""""",
Mg,2,"=""""","=""222.7018""","=""""","=""4.02e+02""",A,"=""35760.88""","=""80650.02""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4p""","=""2P*""","=""3/2""",4,4,E2,"=""c28""","=""""",
Mg,2,"=""""","=""222.8533""","=""""","=""1.64e-03""",E,"=""35760.88""","=""80619.50""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4p""","=""2P*""","=""1/2""",4,2,M1,"=""c28""","=""""",
Mg,2,"=""""","=""222.8533""","=""""","=""8.04e+02""",A,"=""35760.88""","=""80619.50""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4p""","=""2P*""","=""1/2""",4,2,E2,"=""c28""","=""""",
Mg,2,"=""""","=""225.3869""","=""""","=""1.07e+07""",B,"=""71490.19""","=""115844.60""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9f""","=""2F*""","=""7/2""",6,8,,"=""c31""","=""""",
Mg,2,"=""""","=""225.3869""","=""""","=""7.15e+05""",C+,"=""71490.19""","=""115844.60""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9f""","=""2F*""","=""5/2""",6,6,,"=""c31""","=""""",
Mg,2,"=""""","=""225.3913""","=""""","=""1.00e+07""",B,"=""71491.06""","=""115844.60""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.9f""","=""2F*""","=""5/2""",4,6,,"=""c31""","=""""",
Mg,3,"=""227.3414""","=""227.3425""","=""2""","=""1.27e+06""",C,"=""431530.0""","=""475502.9""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""227.343""","=""""","=""5.45e-05""",C,"=""431530.0""","=""475502.9""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",3,3,M2,"=""c46""","=""""",
Mg,2,"=""""","=""230.2986""","=""""","=""3.69e+05""",C+,"=""71490.19""","=""114898.72""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9p""","=""2P*""","=""3/2""",6,4,,"=""c31""","=""""",
Mg,2,"=""""","=""230.3032""","=""""","=""4.11e+04""",C,"=""71491.06""","=""114898.72""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""3/2""",4,4,,"=""c31""","=""""",
Mg,2,"=""""","=""230.3134""","=""""","=""4.05e+05""",C,"=""71491.06""","=""114896.79""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""1/2""",4,2,,"=""c31""","=""""",
Mg,2,"=""""","=""231.2597""","=""""","=""9.81e+04""",C,"=""69804.95""","=""113033.09""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.8p""","=""2P*""","=""3/2""",2,4,,"=""c31""","=""""",
Mg,2,"=""""","=""231.2749""","=""""","=""1.07e+05""",C,"=""69804.95""","=""113030.25""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.8p""","=""2P*""","=""1/2""",2,2,,"=""c31""","=""""",
Mg,3,"=""231.8125""","=""231.8128""","=""2""","=""4.44e+06""",C+,"=""431530.0""","=""474655.0""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""231.813""","=""""","=""5.06e-04""",B+,"=""431530.0""","=""474655.0""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,M2,"=""c46""","=""""",
Mg,2,"=""""","=""232.9562""","=""""","=""9.07e+05""",C+,"=""71490.19""","=""114403.55""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.8f""","=""2F*""","=""5/2""",6,6,,"=""c31""","=""""",
Mg,2,"=""232.9578""","=""232.9562""","=""3*""","=""1.36e+07""",B+,"=""71490.19""","=""114403.55""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.8f""","=""2F*""","=""7/2""",6,8,,"=""c31""","=""L6095""",
Mg,2,"=""232.9578""","=""232.9609""","=""3*""","=""1.27e+07""",B,"=""71491.06""","=""114403.55""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.8f""","=""2F*""","=""5/2""",4,6,,"=""c31""","=""L6095""",
Mg,3,"=""""","=""235.094""","=""""","=""1.65e-03""",A,"=""431530.0""","=""474053.2""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""3""",3,7,M2,"=""c46""","=""""",
Mg,3,"=""239.5149""","=""239.5157""","=""20""","=""1.67e+08""",A,"=""425640.3""","=""467378.5""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3S""","=""1""",5,3,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""239.516""","=""""","=""2.22e-03""",B+,"=""425640.3""","=""467378.5""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3S""","=""1""",5,3,M2,"=""c46""","=""""",
Mg,2,"=""""","=""240.6418""","=""""","=""5.26e+05""",C+,"=""71490.19""","=""113033.09""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.8p""","=""2P*""","=""3/2""",6,4,,"=""c31""","=""""",
Mg,2,"=""""","=""240.6469""","=""""","=""5.87e+04""",C,"=""71491.06""","=""113033.09""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.8p""","=""2P*""","=""3/2""",4,4,,"=""c31""","=""""",
Mg,2,"=""""","=""240.6633""","=""""","=""5.79e+05""",C+,"=""71491.06""","=""113030.25""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.8p""","=""2P*""","=""1/2""",4,2,,"=""c31""","=""""",
Mg,2,"=""""","=""244.9561""","=""""","=""1.44e+06""",B,"=""71490.19""","=""112301.47""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""5/2""",6,6,,"=""c31""","=""""",
Mg,2,"=""244.9590""","=""244.9561""","=""6*""","=""2.16e+07""",B+,"=""71490.19""","=""112301.47""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""7/2""",6,8,,"=""c31""","=""L6095""",
Mg,2,"=""244.9590""","=""244.9613""","=""6*""","=""2.02e+07""",B+,"=""71491.06""","=""112301.47""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.7f""","=""2F*""","=""5/2""",4,6,,"=""c31""","=""L6095""",
Mg,3,"=""246.7751""","=""246.7756""","=""15""","=""6.91e+07""",B+,"=""426868.1""","=""467378.5""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3S""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""246.776""","=""""","=""1.59e-04""",C+,"=""426868.1""","=""467378.5""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3S""","=""1""",3,3,M2,"=""c46""","=""""",
Mg,2,"=""""","=""247.4314""","=""""","=""9.15e+04""",C,"=""69804.95""","=""110207.99""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.7p""","=""2P*""","=""3/2""",2,4,,"=""c31""","=""""",
Mg,2,"=""""","=""247.4584""","=""""","=""1.02e+05""",C,"=""69804.95""","=""110203.58""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.7p""","=""2P*""","=""1/2""",2,2,,"=""c31""","=""""",
