element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,3,"=""""","=""""","=""182.8485""","=""0.0005""","=""""","=""5.2e+00""",C,"=""24238.81""","=""78928.889""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3F2).4s""","=""b 2F""","=""7/2""",4,8,E2,"=""u37""","=""""",
Co,2,"=""182.8865""","=""0.0003""","=""182.886632""","=""0.000013""","=""780""","=""1.4e+06""",E,"=""13260.688""","=""67939.370""","=""3d8""","=""a 3P""","=""2""","=""3d7.(2P).4p""","=""x 3D*""","=""2""",5,5,,"=""T6999""","=""L9429c118""",
Co,3,"=""182.9368""","=""0.0010""","=""182.93753""","=""0.00006""","=""350""","=""1.8e+07""",D+,"=""73863.028""","=""128526.498""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",4,6,,"=""u37""","=""L6156c164""",
Co,2,"=""182.94098""","=""0.00003""","=""182.941011""","=""0.000010""","=""840""","=""1.4e+06""",E,"=""41314.150""","=""95976.579""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4F).5p""","=""5F*""","=""4""",7,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""182.96689""","=""0.00004""","=""182.96689""","=""0.00005""","=""3900*""","=""4.8e+08""",C+,"=""79426.563""","=""134081.259""","=""3d6.(3F2).4s""","=""b 2F""","=""5/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""",6,4,,"=""u37""","=""L19543c139""",
Co,3,"=""182.96689""","=""0.00004""","=""182.96817""","=""0.00004""","=""3900*""","=""2.5e+07""",D+,"=""77624.280""","=""132278.596""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""",10,8,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""183.009063""","=""0.000019""","=""183.009055""","=""0.000017""","=""19000""","=""4.7e+08""",C+,"=""55729.463""","=""110371.568""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""183.057884""","=""0.000024""","=""183.057890""","=""0.000017""","=""9100""","=""1.8e+08""",C+,"=""71875.0920""","=""126502.620""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""",12,12,,"=""u37""","=""L19543c139""",
Co,3,"=""183.07769""","=""0.00008""","=""183.07788""","=""0.00004""","=""1200""","=""5.0e+07""",D+,"=""72271.872""","=""126893.436""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""183.08595""","=""0.00005""","=""183.08595""","=""0.00005""","=""7400""","=""6.1e+08""",C+,"=""106542.565""","=""161161.722""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d6.(3F1).4p""","=""w 4G*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
